bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1138074,859586,2019-05-06,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138075,855541,2019-04-30,Senate,"Senate Investigations and Government Operations Committee Vote",7,0,0,0,7
1138089,881973,2019-06-12,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138089,881974,2019-06-12,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138089,885113,2019-06-18,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138089,885114,2019-06-19,Assembly,"Assembly Floor Vote - Final Passage",149,0,0,1,150
1138095,857255,2019-04-30,Assembly,"Assembly Codes Committee: Favorable",14,6,0,2,22
1138095,884357,2019-06-18,Assembly,"Assembly Floor Vote - Final Passage",106,42,0,2,150
1138103,857018,2019-05-01,Assembly,"Assembly Education Committee: Favorable refer to committee Ways and Means",28,0,0,3,31
1138103,869030,2019-05-21,Assembly,"Assembly Ways And Means Committee: Favorable",32,0,0,3,35
1138117,885385,2019-06-18,Senate,"Senate Floor Vote - Final Passage",42,20,0,0,62
1138117,886606,2019-06-18,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138117,950207,2020-03-10,Senate,"Senate Energy and Telecommunications Committee Vote",6,3,0,0,9
1138123,883471,2019-05-07,Senate,"Senate Ethics And Internal Governance Committee Vote",6,0,1,0,7
1138123,885235,2019-06-18,Senate,"Senate Floor Vote - Final Passage",53,9,0,0,62
1138130,859558,2019-05-06,Senate,"Senate Codes Committee Vote",9,4,0,0,13
1138137,782532,2019-01-15,Assembly,"Assembly Health Committee: Favorable refer to committee Ways and Means",25,0,0,1,26
1138138,811115,2019-02-27,Assembly,"Assembly Real Property Taxation Committee: Favorable refer to committee Ways and Means",9,0,0,1,10
1138138,875611,2019-05-30,Assembly,"Assembly Ways And Means Committee: Favorable",26,5,0,4,35
1138142,784288,2019-01-22,Senate,"Senate Health Committee Vote",10,5,0,0,15
1138142,784546,2019-01-22,Senate,"Senate Floor Vote - Final Passage",38,24,0,1,63
1138142,784667,2019-01-22,Senate,"Senate Health Committee Vote",10,5,0,0,15
1138142,784668,2019-01-22,Assembly,"Assembly Floor Vote - Final Passage",95,49,0,6,150
1138143,867711,2019-05-07,Senate,"Senate Finance Committee Vote",23,0,0,0,23
1138143,867712,2019-05-20,Senate,"Senate Floor Vote - Final Passage",60,0,0,2,62
1138143,882097,2019-06-14,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138143,886178,2019-06-21,Assembly,"Assembly Floor Vote - Final Passage",142,1,0,7,150
1138146,877394,2019-04-09,Senate,"Senate Domestic Animal Welfare Committee Vote",7,0,0,0,7
1138146,877395,2019-06-04,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138146,902943,2020-01-15,Senate,"Senate Domestic Animal Welfare Committee Vote",7,0,0,0,7
1138171,902795,2020-01-14,Assembly,"Assembly Insurance Committee: Favorable",15,6,0,1,22
1138184,820775,2019-03-12,Assembly,"Assembly Election Law Committee: Favorable",15,0,0,1,16
1138184,834018,2019-03-28,Assembly,"Assembly Floor Vote - Final Passage",143,0,0,7,150
1138190,884280,2019-06-18,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138190,885368,2019-06-18,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138190,973601,2020-07-22,Senate,"Senate Floor Vote - Final Passage",60,0,0,0,60
1138190,973939,2020-07-20,Senate,"Senate Transportation Committee Vote",14,1,0,0,15
1138190,973940,2020-07-21,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138195,877059,2019-06-03,Assembly,"Assembly Consumer Affairs And Protection Committee: Favorable refer to committee Rules",11,4,0,1,16
1138198,859936,2019-01-28,Senate,"Senate Judiciary Committee Vote",12,3,0,0,15
1138198,860379,2019-05-07,Senate,"Senate Floor Vote - Final Passage",36,25,0,1,62
1138204,875560,2019-05-30,Senate,"Senate Housing, Construction and Community Development Committee Vote",8,2,0,1,11
1138205,859617,2019-05-06,Assembly,"Assembly Insurance Committee: Favorable refer to committee Codes",15,7,0,2,24
1138205,868712,2019-05-21,Assembly,"Assembly Codes Committee: Favorable",15,6,0,1,22
1138228,811363,2019-02-27,Assembly,"Assembly Election Law Committee: Favorable",13,0,0,3,16
1138228,864035,2019-05-14,Senate,"Senate Floor Vote - Final Passage",59,0,0,3,62
1138228,864036,2019-05-14,Assembly,"Assembly Floor Vote - Final Passage",141,0,0,9,150
1138236,881851,2019-06-13,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138236,881852,2019-06-13,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138236,884040,2019-06-18,Assembly,"Assembly Floor Vote - Final Passage",125,21,0,4,150
1138239,950024,2019-02-12,Senate,"Senate Transportation Committee Vote",15,0,0,0,15
1138239,950025,2020-02-04,Senate,"Senate Transportation Committee Vote",15,0,0,0,15
1138239,950026,2020-03-10,Senate,"Senate Floor Vote - Final Passage",59,0,0,3,62
1138244,868875,2019-05-21,Assembly,"Assembly Codes Committee: Favorable",15,6,0,1,22
1138250,793195,2019-01-28,Senate,"Senate Judiciary Committee Vote",15,0,0,0,15
1138250,793196,2019-02-05,Senate,"Senate Floor Vote - Final Passage",61,0,0,2,63
1138250,826169,2019-03-20,Assembly,"Assembly Floor Vote - Final Passage",121,23,0,6,150
1138252,859835,2019-05-07,Assembly,"Assembly Banks Committee: Favorable refer to committee Codes",26,0,0,5,31
1138252,868546,2019-05-21,Assembly,"Assembly Codes Committee: Favorable",21,0,0,1,22
1138252,875074,2019-05-29,Assembly,"Assembly Floor Vote - Final Passage",142,0,0,8,150
1138252,886570,2019-06-20,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138254,815165,2019-02-04,Senate,"Senate Local Government Committee Vote",7,0,0,0,7
1138254,815166,2019-03-06,Senate,"Senate Floor Vote - Final Passage",62,0,0,1,63
1138257,819067,2019-03-11,Senate,"Senate Children and Families Committee Vote",7,0,0,0,7
1138257,876618,2019-06-03,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138257,877163,2019-06-03,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138258,855841,2019-03-19,Senate,"Senate Environmental Conservation Committee Vote",11,0,0,0,11
1138258,855842,2019-04-30,Senate,"Senate Floor Vote - Final Passage",45,17,0,0,62
1138258,880119,2019-06-11,Senate,"Senate Floor Vote - Final Passage",43,18,0,1,62
1138258,884140,2019-06-18,Assembly,"Assembly Floor Vote - Final Passage",124,24,0,2,150
1138267,864718,2019-05-14,Assembly,"Assembly Consumer Affairs And Protection Committee: Favorable refer to committee Codes",15,0,0,1,16
1138267,880208,2019-06-11,Assembly,"Assembly Codes Committee: Favorable refer to committee Rules",20,2,0,0,22
1138267,882400,2019-06-17,Assembly,"Assembly Rules Committee: Favorable",25,1,0,5,31
1138273,883045,2019-06-17,Senate,"Senate Floor Vote - Final Passage",44,18,0,0,62
1138273,883046,2019-06-17,Senate,"Senate Rules Committee Vote",15,4,0,0,19
1138279,868892,2019-05-21,Assembly,"Assembly Economic Development Committee: Favorable refer to committee Codes",23,1,0,2,26
1138279,874995,2019-05-30,Assembly,"Assembly Codes Committee: Favorable",18,1,0,3,22
1138279,877303,2019-06-03,Assembly,"Assembly Floor Vote - Final Passage",123,19,0,8,150
1138279,882816,2019-06-17,Senate,"Senate Floor Vote - Final Passage",51,11,0,0,62
1138290,882093,2019-05-29,Senate,"Senate Local Government Committee Vote",7,0,0,0,7
1138290,882094,2019-06-14,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138291,797704,2019-02-12,Assembly,"Assembly Corporations, Authorities And Commissions Committee: Favorable refer to committee Codes",24,0,0,2,26
1138291,813628,2019-03-05,Assembly,"Assembly Codes Committee: Favorable",22,0,0,0,22
1138291,819037,2019-03-11,Assembly,"Assembly Floor Vote - Final Passage",140,0,0,10,150
1138293,862935,2019-05-13,Senate,"Senate Racing, Gaming and Wagering Committee Vote",7,0,0,0,7
1138293,882959,2019-06-17,Senate,"Senate Floor Vote - Final Passage",57,5,0,0,62
1138293,882960,2019-06-17,Senate,"Senate Rules Committee Vote",16,3,0,0,19
1138293,901941,2020-01-13,Senate,"Senate Racing, Gaming and Wagering Committee Vote",7,0,0,0,7
1138296,829792,2019-03-26,Assembly,"Assembly Economic Development Committee: Favorable refer to committee Codes",14,10,0,2,26
1138296,839069,2019-04-09,Assembly,"Assembly Codes Committee: Favorable refer to committee Ways and Means",17,5,0,0,22
1138296,864838,2019-05-14,Assembly,"Assembly Ways And Means Committee: Favorable",23,9,0,3,35
1138311,792568,2019-02-05,Assembly,"Assembly Consumer Affairs And Protection Committee: Favorable refer to committee Codes",15,0,0,1,16
1138311,796520,2019-02-11,Assembly,"Assembly Codes Committee: Favorable",21,1,0,0,22
1138322,878676,2019-04-08,Senate,"Senate Elections Committee Vote",7,0,0,0,7
1138322,879142,2019-06-06,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138322,884157,2019-06-18,Assembly,"Assembly Floor Vote - Final Passage",148,0,0,2,150
1138323,902614,2019-02-27,Senate,"Senate Health Committee Vote",12,2,0,1,15
1138323,902615,2020-01-14,Senate,"Senate Health Committee Vote",12,2,0,0,14
1138327,878837,2019-06-06,Assembly,"Assembly Corporations, Authorities And Commissions Committee: Favorable refer to committee Ways and Means",23,2,0,1,26
1138328,855141,2019-04-09,Senate,"Senate Environmental Conservation Committee Vote",9,2,0,0,11
1138328,855142,2019-04-30,Senate,"Senate Floor Vote - Final Passage",53,9,0,0,62
1138328,857172,2019-04-30,Assembly,"Assembly Floor Vote - Final Passage",119,25,0,6,150
1138342,878720,2019-06-06,Assembly,"Assembly Environmental Conservation Committee: Favorable refer to committee Codes",25,3,0,2,30
1138342,880217,2019-06-11,Assembly,"Assembly Codes Committee: Favorable refer to committee Rules",19,3,0,0,22
1138342,934409,2020-02-25,Assembly,"Assembly Codes Committee: Favorable",17,4,0,1,22
1138347,884278,2019-06-18,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138347,885362,2019-06-18,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138367,972620,2020-07-20,Senate,"Senate Children And Families Committee Vote",7,0,0,0,7
1138367,973366,2020-07-22,Senate,"Senate Rules Committee Vote",18,1,0,0,19
1138367,973738,2020-07-23,Senate,"Senate Floor Vote - Final Passage",54,6,0,0,60
1138375,878730,2019-06-06,Assembly,"Assembly Environmental Conservation Committee: Favorable refer to committee Codes",21,7,0,2,30
1138394,868073,2019-05-21,Assembly,"Assembly Insurance Committee: Favorable refer to committee Codes",22,1,0,1,24
1138394,877893,2019-06-05,Assembly,"Assembly Rules Committee: Favorable",23,4,0,4,31
1138394,877894,2019-06-05,Assembly,"Assembly Codes Committee: Favorable refer to committee Rules",19,3,0,0,22
1138394,878607,2019-06-05,Assembly,"Assembly Floor Vote - Final Passage",90,49,0,11,150
1138394,885274,2019-06-18,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138397,857070,2019-04-30,Assembly,"Assembly Children And Families Committee: Favorable refer to committee Codes",14,0,0,2,16
1138397,859825,2019-05-07,Assembly,"Assembly Codes Committee: Favorable",20,0,0,2,22
1138397,863520,2019-05-13,Assembly,"Assembly Floor Vote - Final Passage",143,0,0,7,150
1138397,869592,2019-05-22,Senate,"Senate Floor Vote - Final Passage",49,12,0,1,62
1138401,949110,2020-03-10,Senate,"Senate Ethics and Internal Governance Committee Vote",6,1,0,0,7
1138408,787135,2019-01-28,Assembly,"Assembly Election Law Committee: Favorable",15,0,0,1,16
1138408,792456,2019-02-04,Assembly,"Assembly Floor Vote - Final Passage",143,1,0,6,150
1138408,881942,2019-06-13,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138411,825952,2019-03-04,Senate,"Senate Local Government Committee Vote",7,0,0,0,7
1138411,825953,2019-03-20,Senate,"Senate Floor Vote - Final Passage",58,4,0,0,62
1138412,786909,2019-01-28,Assembly,"Assembly Rules Committee: Favorable",28,1,0,2,31
1138412,786910,2019-01-28,Assembly,"Assembly Ways And Means Committee: Favorable refer to committee Rules",28,4,0,3,35
1138413,791970,2019-02-04,Senate,"Senate Corporations, Authorities and Commissions Committee Vote",7,0,0,0,7
1138413,887575,2019-06-20,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138413,887576,2019-06-20,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138414,868495,2019-05-21,Senate,"Senate Children and Families Committee Vote",7,0,0,0,7
1138414,875211,2019-05-30,Senate,"Senate Floor Vote - Final Passage",54,4,0,4,62
1138414,875212,2019-05-30,Senate,"Senate Rules Committee Vote",17,1,0,1,19
1138414,904755,2020-01-21,Senate,"Senate Children and Families Committee Vote",7,0,0,0,7
1138414,972691,2020-07-21,Senate,"Senate Finance Committee Vote",23,0,0,0,23
1138414,974018,2020-07-22,Senate,"Senate Floor Vote - Final Passage",60,0,0,0,60
1138414,974019,2020-07-22,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138432,822556,2019-02-05,Senate,"Senate Investigations and Government Operations Committee Vote",7,0,0,0,7
1138432,822557,2019-03-14,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138432,902620,2020-01-14,Senate,"Senate Investigations and Government Operations Committee Vote",7,0,0,0,7
1138432,904761,2020-01-22,Senate,"Senate Finance Committee Vote",23,0,0,0,23
1138432,933189,2020-02-24,Senate,"Senate Floor Vote - Final Passage",59,0,0,3,62
1138434,899546,2019-02-05,Senate,"Senate Investigations and Government Operations Committee Vote",7,0,0,0,7
1138437,877532,2019-06-04,Assembly,"Assembly Children And Families Committee: Favorable refer to committee Codes",16,0,0,0,16
1138437,880088,2019-06-11,Assembly,"Assembly Codes Committee: Favorable refer to committee Rules",22,0,0,0,22
1138437,881345,2019-06-13,Assembly,"Assembly Rules Committee: Favorable",26,0,0,5,31
1138437,950156,2020-03-10,Assembly,"Assembly Floor Vote - Final Passage",134,4,0,9,147
1138446,787315,2019-01-28,Senate,"Senate Commerce, Economic Development and Small Business Committee Vote",7,2,0,0,9
1138453,840767,2019-04-09,Assembly,"Assembly Transportation Committee: Favorable refer to committee Codes",16,7,0,2,25
1138453,857513,2019-04-30,Assembly,"Assembly Codes Committee: Favorable",18,2,0,2,22
1138469,859488,2019-03-12,Senate,"Senate Energy and Telecommunications Committee Vote",9,0,0,0,9
1138469,859489,2019-05-06,Senate,"Senate Floor Vote - Final Passage",60,1,0,1,62
1138469,904513,2020-01-22,Senate,"Senate Energy and Telecommunications Committee Vote",9,0,0,0,9
1138469,907375,2020-01-28,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138470,824771,2019-03-19,Senate,"Senate Environmental Conservation Committee Vote",11,0,0,0,11
1138485,809314,2019-02-26,Assembly,"Assembly Social Services Committee: Favorable refer to committee Codes",15,0,0,3,18
1138492,884405,2019-06-18,Senate,"Senate Rules Committee Vote",17,2,0,0,19
1138492,885469,2019-06-18,Senate,"Senate Floor Vote - Final Passage",49,13,0,0,62
1138513,970945,2020-07-13,Assembly,"Assembly Consumer Affairs And Protection Committee: Favorable refer to committee Codes",12,3,0,1,16
1138513,971866,2020-07-17,Assembly,"Assembly Codes Committee: Favorable refer to committee Rules",15,6,0,1,22
1138513,973026,2020-07-22,Assembly,"Assembly Rules Committee: Favorable",19,6,0,5,30
1138516,828549,2019-03-26,Assembly,"Assembly Correction Committee: Favorable refer to committee Ways and Means",10,3,0,0,13
1138522,786925,2019-01-28,Assembly,"Assembly Rules Committee: Favorable",28,1,0,2,31
1138522,786926,2019-01-28,Assembly,"Assembly Ways And Means Committee: Favorable refer to committee Rules",28,4,0,3,35
1138527,810262,2019-02-27,Senate,"Senate Commerce, Economic Development and Small Business Committee Vote",9,0,0,0,9
1138528,818182,2019-01-28,Senate,"Senate Racing, Gaming and Wagering Committee Vote",7,0,0,0,7
1138528,818183,2019-03-11,Senate,"Senate Floor Vote - Final Passage",61,1,0,0,62
1138528,902043,2020-01-13,Senate,"Senate Racing, Gaming and Wagering Committee Vote",7,0,0,0,7
1138528,906619,2020-01-27,Senate,"Senate Floor Vote - Final Passage",59,2,0,1,62
1138529,880321,2019-05-30,Senate,"Senate Veterans, Homeland Security And Military Affairs Committee Vote",9,0,0,0,9
1138529,880322,2019-06-11,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138529,884039,2019-06-18,Assembly,"Assembly Floor Vote - Final Passage",146,0,0,4,150
1138532,973866,2020-07-21,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138532,973867,2020-07-22,Senate,"Senate Floor Vote - Final Passage",57,3,0,0,60
1138533,884416,2019-06-18,Senate,"Senate Rules Committee Vote",18,1,0,0,19
1138533,885479,2019-06-18,Senate,"Senate Floor Vote - Final Passage",58,4,0,0,62
1138536,880009,2019-06-11,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138536,880504,2019-06-11,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138536,964097,2020-06-09,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138536,966318,2020-05-28,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138536,966319,2020-06-08,Senate,"Senate Transportation Committee Vote",15,0,0,0,15
1138549,882967,2019-06-17,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138549,882968,2019-06-17,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138551,881909,2019-06-13,Senate,"Senate Floor Vote - Final Passage",59,3,0,0,62
1138551,881910,2019-06-13,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138551,886318,2019-06-20,Assembly,"Assembly Floor Vote - Final Passage",148,0,0,2,150
1138553,809944,2019-02-27,Assembly,"Assembly Agriculture Committee: Favorable refer to committee Codes",20,0,0,1,21
1138553,814016,2019-03-05,Assembly,"Assembly Codes Committee: Favorable",22,0,0,0,22
1138553,819027,2019-03-11,Assembly,"Assembly Floor Vote - Final Passage",139,1,0,10,150
1138553,877390,2019-06-04,Senate,"Senate Floor Vote - Final Passage",61,1,0,0,62
1138555,791608,2019-01-22,Senate,"Senate Higher Education Committee Vote",11,0,0,0,11
1138555,792307,2019-02-04,Senate,"Senate Floor Vote - Final Passage",62,0,0,1,63
1138555,902618,2020-01-14,Senate,"Senate Higher Education Committee Vote",10,0,0,1,11
1138555,913299,2020-02-03,Senate,"Senate Floor Vote - Final Passage",59,0,0,3,62
1138558,855619,2019-04-30,Senate,"Senate Civil Service and Pensions Committee Vote",7,0,0,0,7
1138558,868711,2019-05-21,Senate,"Senate Finance Committee Vote",23,0,0,0,23
1138558,881757,2019-06-12,Senate,"Senate Floor Vote - Final Passage",61,1,0,0,62
1138558,972689,2020-07-20,Senate,"Senate Civil Service and Pensions Committee Vote",7,0,0,0,7
1138558,972690,2020-07-21,Senate,"Senate Finance Committee Vote",22,1,0,0,23
1138558,973336,2020-07-22,Senate,"Senate Rules Committee Vote",18,1,0,0,19
1138558,973502,2020-07-22,Senate,"Senate Floor Vote - Final Passage",58,2,0,0,60
1138561,786936,2019-01-28,Assembly,"Assembly Rules Committee: Favorable",28,1,0,2,31
1138561,786937,2019-01-28,Assembly,"Assembly Ways And Means Committee: Favorable refer to committee Rules",28,4,0,3,35
1138563,886539,2019-06-20,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138563,887353,2019-06-20,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138563,919525,2020-02-10,Senate,"Senate Education Committee Vote",15,0,0,0,15
1138563,932122,2020-02-24,Senate,"Senate Floor Vote - Final Passage",59,0,0,3,62
1138564,814510,2019-03-05,Assembly,"Assembly Judiciary Committee: Favorable refer to committee Ways and Means",19,0,0,2,21
1138564,882324,2019-06-14,Assembly,"Assembly Ways And Means Committee: Favorable refer to committee Rules",30,0,0,5,35
1138564,882518,2019-06-17,Assembly,"Assembly Rules Committee: Favorable",26,0,0,5,31
1138569,810857,2019-02-04,Senate,"Senate Elections Committee Vote",6,1,0,0,7
1138569,810858,2019-02-27,Senate,"Senate Floor Vote - Final Passage",45,17,0,1,63
1138574,883917,2019-06-18,Senate,"Senate Floor Vote - Final Passage",61,1,0,0,62
1138574,884407,2019-06-18,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138575,857236,2019-04-30,Assembly,"Assembly Ways And Means Committee: Favorable",33,0,0,2,35
1138575,859668,2019-05-06,Assembly,"Assembly Floor Vote - Final Passage",141,0,0,9,150
1138576,782597,2019-01-15,Assembly,"Assembly Codes Committee: Favorable",15,6,0,1,22
1138576,782598,2019-01-15,Assembly,"Assembly Health Committee: Favorable refer to committee Codes",18,7,0,1,26
1138589,786912,2019-01-28,Assembly,"Assembly Rules Committee: Favorable",28,1,0,2,31
1138589,786913,2019-01-28,Assembly,"Assembly Ways And Means Committee: Favorable refer to committee Rules",28,4,0,3,35
1138596,914655,2019-02-04,Senate,"Senate Agriculture Committee Vote",9,0,0,0,9
1138596,914656,2020-02-03,Senate,"Senate Agriculture Committee Vote",9,0,0,0,9
1138599,877858,2019-06-05,Assembly,"Assembly Insurance Committee: Favorable refer to committee Codes",24,0,0,0,24
1138599,880414,2019-06-11,Assembly,"Assembly Codes Committee: Favorable refer to committee Rules",22,0,0,0,22
1138599,881359,2019-06-13,Assembly,"Assembly Rules Committee: Favorable",26,0,0,5,31
1138600,886696,2019-05-07,Senate,"Senate Elections Committee Vote",6,0,0,1,7
1138600,886697,2019-06-20,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138629,878469,2019-06-04,Assembly,"Assembly Governmental Operations Committee: Favorable refer to committee Rules",12,0,0,2,14
1138629,880678,2019-06-12,Assembly,"Assembly Rules Committee: Favorable",27,0,0,4,31
1138631,832194,2019-03-26,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138631,832195,2019-03-29,Senate,"Senate Floor Vote - Final Passage",55,5,0,2,62
1138631,840462,2019-04-09,Assembly,"Assembly Floor Vote - Final Passage",146,0,0,4,150
1138635,973625,2020-07-22,Senate,"Senate Floor Vote - Final Passage",42,18,0,0,60
1138635,973974,2020-07-21,Senate,"Senate Rules Committee Vote",13,6,0,0,19
1138661,875224,2019-05-30,Senate,"Senate Floor Vote - Final Passage",57,1,0,4,62
1138661,875225,2019-05-30,Senate,"Senate Rules Committee Vote",18,0,0,1,19
1138662,824797,2019-03-12,Senate,"Senate Investigations and Government Operations Committee Vote",7,0,0,0,7
1138662,824798,2019-03-19,Senate,"Senate Floor Vote - Final Passage",51,10,0,1,62
1138662,875692,2019-05-30,Assembly,"Assembly Floor Vote - Final Passage",142,0,0,8,150
1138664,787545,2019-01-28,Senate,"Senate Rules Committee Vote",14,5,0,0,19
1138664,787546,2019-01-29,Senate,"Senate Codes Committee Vote",10,3,0,0,13
1138664,787811,2019-01-29,Senate,"Senate Floor Vote - Final Passage",41,22,0,0,63
1138664,788449,2019-01-29,Assembly,"Assembly Floor Vote - Final Passage",104,40,0,6,150
1138672,868426,2019-05-20,Senate,"Senate Rules Committee Vote",17,1,0,1,19
1138672,868427,2019-05-21,Senate,"Senate Floor Vote - Final Passage",47,14,0,1,62
1138672,903392,2020-01-15,Senate,"Senate Banks Committee Vote",7,3,0,0,10
1138672,972369,2020-07-21,Senate,"Senate Floor Vote - Final Passage",48,12,0,0,60
1138674,856195,2019-04-30,Senate,"Senate Health Committee Vote",15,0,0,0,15
1138674,868062,2019-05-21,Senate,"Senate Finance Committee Vote",23,0,0,0,23
1138674,869061,2019-05-21,Senate,"Senate Finance Committee Vote",23,0,0,0,23
1138674,869062,2019-05-22,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138674,883405,2019-06-17,Assembly,"Assembly Floor Vote - Final Passage",148,0,0,2,150
1138683,787323,2019-01-28,Assembly,"Assembly Election Law Committee: Favorable",15,0,0,1,16
1138683,792451,2019-02-04,Assembly,"Assembly Floor Vote - Final Passage",144,0,0,6,150
1138683,814407,2019-03-05,Senate,"Senate Floor Vote - Final Passage",55,5,0,3,63
1138697,863916,2019-05-07,Senate,"Senate Elections Committee Vote",6,0,0,1,7
1138697,863917,2019-05-14,Senate,"Senate Floor Vote - Final Passage",59,0,0,3,62
1138697,919417,2020-02-10,Senate,"Senate Elections Committee Vote",7,0,0,0,7
1138697,972980,2020-07-21,Senate,"Senate Floor Vote - Final Passage",60,0,0,0,60
1138707,782422,2019-01-15,Assembly,"Assembly Health Committee: Favorable refer to committee Codes",25,0,0,1,26
1138707,868905,2019-05-21,Assembly,"Assembly Codes Committee: Favorable",21,0,0,1,22
1138707,874843,2019-05-29,Assembly,"Assembly Floor Vote - Final Passage",140,0,0,10,150
1138707,882130,2019-06-12,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138708,810907,2019-02-28,Assembly,"Assembly Health Committee: Favorable refer to committee Codes",16,9,0,1,26
1138710,876617,2019-06-03,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138710,877142,2019-06-03,Senate,"Senate Rules Committee Vote",19,0,0,0,19
1138716,810822,2019-02-27,Senate,"Senate Health Committee Vote",10,4,0,1,15
1138721,857104,2019-04-30,Assembly,"Assembly Housing Committee: Favorable refer to committee Codes",25,0,0,3,28
1138721,859857,2019-05-07,Assembly,"Assembly Codes Committee: Favorable",19,1,0,2,22
1138721,863628,2019-05-13,Assembly,"Assembly Floor Vote - Final Passage",137,6,0,7,150
1138721,869686,2019-05-22,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138728,813465,2019-02-04,Senate,"Senate Consumer Protection Committee Vote",7,0,0,0,7
1138728,813466,2019-03-04,Senate,"Senate Floor Vote - Final Passage",59,0,0,4,63
