Term,Year,Party,Average Percentage Effect,Number of Facebook Posts,Percentage Effect on Facebook Reactions,Percentage Effect on Facebook Shares,Number of Tweets,Percentage Effect on Twitter Favorites,Percentage Effect on Twitter Retweets
iran,2015,D,1.084,971,1.176,1.065,1067,0.894,1.202
trump,2020,D,1.076,12010,1.26,1.545,14228,0.609,0.889
trump administration,2020,D,1.071,3034,1.228,1.58,2336,0.599,0.876
gun,2016,D,1.069,4008,1.349,1.198,5028,0.7,1.027
sexual assault,2018,D,1.063,831,1.071,0.88,1083,1.194,1.106
trumpshutdown,2018,D,1.046,507,1.027,0.685,1713,1.124,1.347
donald trump,2017,D,1.037,6835,0.889,1.211,907,0.98,1.07
tax return,2017,D,1.031,519,0.775,0.607,574,1.334,1.409
special counsel,2018,D,1.029,1145,0.718,0.59,1248,1.45,1.356
supreme court,2020,D,1.018,754,1.154,0.691,494,1.103,1.123
ford,2018,D,1.012,727,0.754,0.542,1303,1.468,1.284
mueller report,2019,D,1.001,1300,0.64,0.567,1338,1.398,1.397
mitch mcconnell,2019,D,0.995,2262,0.483,1.014,1341,1.027,1.457
vote mail,2020,D,0.994,590,0.855,0.213,555,1.419,1.489
white house,2018,D,0.993,2783,0.516,0.729,2264,1.249,1.478
gun violence,2015,D,0.992,862,0.996,0.923,635,1.036,1.011
barr,2019,D,0.99,1169,0.698,0.574,2148,1.198,1.491
trial,2020,D,0.987,1235,1.101,0.656,1676,1.073,1.116
truth,2020,D,0.981,765,0.639,0.7,1297,1.241,1.343
impeachment,2019,D,0.975,3832,0.848,0.513,3816,1.248,1.291
floor,2016,D,0.972,2196,0.807,1.351,2012,0.919,0.812
netneutrality,2018,D,0.97,591,0.614,0.569,2670,1.133,1.567
senate floor,2019,D,0.969,558,1.128,0.965,718,0.88,0.904
white house,2017,D,0.96,3396,0.539,0.664,1510,1.241,1.396
tax cut,2018,D,0.946,1698,0.522,1.548,1566,0.6,1.113
judiciary committee,2018,D,0.945,684,0.557,0.524,643,1.334,1.367
birthday,2020,D,0.942,617,1.432,1.093,1033,0.758,0.485
scott pruitt,2018,D,0.932,1026,0.809,0.79,915,0.983,1.147
brett kavanaugh,2018,D,0.925,1423,0.354,0.548,1173,1.294,1.504
national security,2020,D,0.921,680,0.95,0.638,628,1.06,1.035
year old,2018,D,0.917,1368,0.968,0.979,736,0.876,0.847
universal background check,2019,D,0.912,769,0.761,0.645,951,1.123,1.118
racist,2019,D,0.908,923,0.601,0.686,1460,1.129,1.217
tbt,2015,D,0.907,533,2.322,0.407,661,0.598,0.299
charlottesville,2017,D,0.902,857,0.776,0.511,730,1.208,1.115
rule law,2018,D,0.892,418,0.494,0.498,678,1.317,1.26
hate,2016,D,0.886,875,0.435,0.596,781,1.229,1.283
love,2015,D,0.883,1515,0.688,0.492,1314,1.452,0.9
year old,2019,D,0.883,1475,0.952,1.107,803,0.782,0.691
betsy,2017,D,0.882,790,0.967,1.243,471,0.629,0.69
abuse power,2019,D,0.88,764,0.533,0.393,1154,1.293,1.302
tax cut,2019,D,0.869,700,0.616,1.316,715,0.6,0.945
attorney general,2019,D,0.866,1522,0.591,0.634,1210,1.099,1.14
supreme court,2017,D,0.865,1211,1.293,0.762,540,0.77,0.637
pre existing condition,2018,D,0.865,1653,0.591,1.31,2818,0.548,1.011
free open internet,2018,D,0.862,386,1.014,0.618,763,0.871,0.947
marchforourlives,2018,D,0.861,318,0.985,0.648,693,1.044,0.769
supreme court,2016,D,0.861,1960,1.197,1.067,623,0.473,0.706
jeff session,2017,D,0.859,1029,0.406,0.455,484,1.277,1.298
investigation,2016,D,0.858,791,0.523,0.707,434,1.05,1.151
middle class family,2017,D,0.838,1126,0.849,1.291,1249,0.358,0.856
document,2020,D,0.838,612,0.394,0.409,745,1.12,1.427
happy,2020,D,0.836,2305,1.907,0.226,2869,0.901,0.309
attorney general,2017,D,0.828,1888,0.692,0.492,571,1.11,1.019
migrant child,2019,D,0.827,618,0.768,1.218,382,0.567,0.753
donald trump,2018,D,0.818,4812,0.662,1.032,1469,0.73,0.85
postal,2020,D,0.816,565,0.515,0.815,531,0.905,1.03
happy,2015,D,0.815,3562,1.97,0.469,4773,0.568,0.252
congratulation,2015,D,0.808,2156,1.321,0.337,1592,0.98,0.595
gun,2015,D,0.807,1413,0.664,0.672,1555,0.984,0.909
united state,2020,D,0.805,2383,0.43,0.514,1242,1.236,1.041
wall street,2017,D,0.805,747,0.815,1.134,627,0.526,0.745
supreme court,2015,D,0.798,1466,1.241,0.895,400,0.507,0.551
senate republican,2017,D,0.798,1880,0.476,0.751,633,0.8,1.166
democracy,2016,D,0.798,1112,0.514,0.606,821,1.011,1.062
breaking,2019,D,0.794,1109,0.455,0.544,1114,0.988,1.19
rule law,2019,D,0.793,610,0.395,0.3,923,1.26,1.218
executive order,2017,D,0.788,1930,0.713,0.835,693,0.793,0.81
congratulation,2020,D,0.783,929,1.511,0.266,1238,0.981,0.375
sit,2016,D,0.781,1104,0.536,0.443,767,1.103,1.043
special counsel,2017,D,0.781,659,0.484,0.299,493,1.247,1.093
mueller,2019,D,0.78,2290,0.845,0.548,3172,0.839,0.89
saudi,2018,D,0.779,703,0.502,0.583,1137,0.904,1.125
russian,2017,D,0.778,2968,0.459,0.508,2238,0.987,1.156
