Term,Party,Positive-to-Negative Ratio,Proportion of Party,Proportion of Other Party
randy,R,1.438,0.648,0.45
equal pay,D,7.533,0.964,0.128
gun safety,D,5.431,0.879,0.162
lgbt,D,4.81,0.879,0.183
worker right,D,4.548,0.855,0.188
violence prevention,D,4.378,0.846,0.193
demand action,D,3.848,0.834,0.217
million woman,D,3.736,0.81,0.217
violence woman act,D,3.653,0.849,0.232
disparity,D,3.572,0.858,0.24
open internet,D,3.511,0.798,0.227
inequality,D,3.495,0.885,0.253
hiv,D,3.397,0.825,0.243
quality affordable health,D,3.349,0.831,0.248
paid family,D,3.264,0.81,0.248
selma,D,3.26,0.792,0.243
woman act,D,3.096,0.873,0.282
john lewis,D,3.093,0.864,0.279
orientation,D,3.071,0.858,0.279
equal right,D,3.042,0.921,0.303
open enrollment,D,3.022,0.915,0.303
latino,D,3.019,0.828,0.274
insecurity,D,2.972,0.792,0.266
family separation,D,2.944,0.776,0.264
equal opportunity,D,2.916,0.761,0.261
risk losing,D,2.882,0.782,0.272
discriminatory,D,2.868,0.861,0.3
predatory,D,2.859,0.761,0.266
earthday,D,2.851,0.931,0.326
suppression,D,2.845,0.81,0.285
care million,D,2.84,0.816,0.287
paid sick,D,2.819,0.81,0.287
transgender,D,2.809,0.858,0.305
day action,D,2.795,0.773,0.277
violence woman,D,2.79,0.903,0.324
cruelty,D,2.747,0.767,0.279
action gun,D,2.745,0.789,0.287
interference election,D,2.74,0.816,0.298
voting right,D,2.734,0.964,0.352
earth day,D,2.732,0.87,0.319
people pre existing,D,2.728,0.876,0.321
sick leave,D,2.703,0.819,0.303
furloughed,D,2.689,0.779,0.29
people pre,D,2.672,0.879,0.329
affordable quality,D,2.657,0.749,0.282
woman girl,D,2.656,0.798,0.3
fairness act,D,2.62,0.931,0.355
intolerance,D,2.609,0.749,0.287
woman deserve,D,2.598,0.773,0.298
rosa,D,2.589,0.798,0.308
paid leave,D,2.574,0.779,0.303
civil right movement,D,2.544,0.77,0.303
black history,D,2.542,0.81,0.319
access quality affordable,D,2.505,0.792,0.316
health care coverage,D,2.504,0.837,0.334
prescription drug cost,D,2.502,0.804,0.321
student debt,D,2.496,0.789,0.316
right movement,D,2.493,0.801,0.321
health economic,D,2.472,0.755,0.305
citizen united,D,2.472,0.807,0.326
gay,D,2.467,0.831,0.337
blackhistorymonth,D,2.447,0.888,0.363
fighting make,D,2.446,0.785,0.321
paris climate,D,2.442,0.81,0.332
childcare,D,2.434,0.801,0.329
stand solidarity,D,2.431,0.819,0.337
care coverage,D,2.409,0.843,0.35
uninsured,D,2.402,0.909,0.379
right leader,D,2.381,0.758,0.319
school shooting,D,2.377,0.801,0.337
health care affordable,D,2.375,0.713,0.3
reunite,D,2.373,0.731,0.308
public education,D,2.365,0.84,0.355
separating,D,2.35,0.798,0.339
financial security,D,2.343,0.734,0.313
family access,D,2.343,0.734,0.313
medicare social,D,2.333,0.767,0.329
medicare social security,D,2.333,0.767,0.329
clean air,D,2.331,0.816,0.35
breathe,D,2.331,0.828,0.355
trump want,D,2.324,0.728,0.313
essential worker,D,2.323,0.764,0.329
disproportionately,D,2.323,0.819,0.352
gun law,D,2.314,0.81,0.35
marched,D,2.314,0.858,0.371
lower prescription drug,D,2.305,0.728,0.316
family leave,D,2.297,0.798,0.347
activism,D,2.288,0.782,0.342
essential service,D,2.287,0.764,0.334
health expert,D,2.268,0.746,0.329
equity,D,2.261,0.891,0.394
lower prescription,D,2.258,0.731,0.324
lower drug,D,2.255,0.801,0.355
funding community,D,2.24,0.725,0.324
dreamer,D,2.233,0.915,0.41
protect environment,D,2.23,0.804,0.36
right act,D,2.228,0.937,0.42
white supremacist,D,2.22,0.782,0.352
student loan debt,D,2.218,0.77,0.347
trump budget,D,2.216,0.822,0.371
elijah cummings,D,2.216,0.816,0.368
